player_id	player_name	player_password	authority_code
1	master	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	ADMIN
2	testuser01	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
3	testuser02	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
4	testuser03	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
5	testuser04	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
6	testuser05	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
7	testuser06	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
8	testuser07	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
9	testuser08	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
10	testuser09	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
11	testuser10	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
12	testuser11	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
13	testuser12	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
14	testuser13	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
15	testuser14	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
16	testuser15	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
17	testuser16	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
18	testuser17	$2a$10$NbJzGbAWAMK2lmEa0xw6Auv.052w/n17NAytqXlFCJajMh.2E9oH6	PLAYER
